artist,album,track,uri
HOMESHAKE,Helium,(Secret Track),spotify:track:6WgXtpqS0DHmiN7Dkkyb1N
J. Cole,4 Your Eyez Only,Change,spotify:track:3pjUyVbFmM96tYhSaKJwTt
Angela Muñoz,Introspection,Can I Get Your Name,spotify:track:1wET3dkqtfjxz3RJGNa9HK
Dua Lipa,Dua Lipa,New Rules,spotify:track:2ekn2ttSfGqwhhate0LSR0
Victoria Monét,We Might Even Be Falling In Love (Duet),We Might Even Be Falling In Love (Duet),spotify:track:0wOtc2nY3NOohp4xSwOyTN
ELIZA,A Sky Without Stars,Abandon the Rule,spotify:track:5bbgrpn8N8oMVy6aP9XLDj
Victoria Monét,Coastin’,Coastin’,spotify:track:1IjeGPU5hqHlJpm00zObN7
070 Shake,Modus Vivendi,Microdosing,spotify:track:24yb4Wz0iBvBNOaIW2dVOD
KAYTRAMINÉ,KAYTRAMINÉ,K&A,spotify:track:4FyH1gsB85ivmvFtkvxgir
Vulfpeck,Thrill of the Arts,Game Winner,spotify:track:1CyAxM93XN2atUBykXFWPX
Caroline Polachek,Welcome To My Island,Welcome To My Island - George Daniel & Charli XCX Remix,spotify:track:2nQeWDP8OA9vFqiCfghot2
Juice Cuice,Don't Let Go,Don't Let Go,spotify:track:2QObZ1nNcFKK29JCwBjfzY
Joyce Wrice,Iced Tea/Bittersweet Goodbyes (Sped Up),Bittersweet Goodbyes - Sped Up,spotify:track:1auVPKakaG0RkqKveYY2LS
Channel Tres,Head Rush,Chain Hang Low (feat. Teezo Touchdown),spotify:track:5FByRC0MNQpoA88jEk7URl
River Tiber,Dreaming Eyes,Taurus,spotify:track:43WHVVeT1ZGwrev6kMAXrt
Carly Rae Jepsen,Emotion,Boy Problems,spotify:track:2YalDCU0tWxJfNdFPor3Rh
Solange,When I Get Home,Binz,spotify:track:7yvdp8dqmxExSJwT2fn6Xq
Doja Cat,I Don't Do Drugs,I Don't Do Drugs - Y2K Remix,spotify:track:49CHpBYoeE9j0QIXy9dKI7
Laufey,Bewitched: The Goddess Edition,From The Start,spotify:track:29Gys08x2u3ZSERTe0WvbE
Gareth Donkin,Autumnbreeze/Singmetosleep,Singmetosleep,spotify:track:6AcPrjlpNurI7jqbg7R8Rf
Johnny Yukon,Installation I,I Like,spotify:track:5oBxzZkhoqAOqPkrIhKVUG
Keyshia Cole,Just Like You,Let It Go,spotify:track:2RqZFOLOnzVmHUX7ZMcaES
Garrett Sparrow,REAL BAD,REAL BAD,spotify:track:49DZyeZZXcLCsMeAKj0BUr
Joy Crookes,Influence EP,Mother May I Sleep With Danger?,spotify:track:6rZtlYru44l92npSBTbUN7
Saba,Excited,Excited,spotify:track:0YTE1RJ69I7UfIxU8Y38NX
Jenevieve,Rendezvous - EP,Rendezvous,spotify:track:72jA4yrxxWkefvFUujVaN7
Steve Lacy,Gemini Rights,Static,spotify:track:4OmfWzukSVD140NiAIEjem
Ice Spice,Bikini Bottom,Bikini Bottom,spotify:track:27Qz0cFmMGADsniMeUwyUe
Max Graef,Magic Johnson,Magic Johnson,spotify:track:2ZQDQcJlpwWwGHnV1xa1Vc
Psychedelic Porn Crumpets,And Now for the Whatchamacallit,Bill's Mandolin,spotify:track:3UM2L6NTtB2SyHeFKDUVhg
Giveon,TAKE TIME,Like I Want You,spotify:track:6qBFSepqLCuh5tehehc1bd
F3miii,FROM YOUR EYES,FROM YOUR EYES,spotify:track:59zSL8ZmZk1VwAYcpWczQK
Resavoir,Resavoir,Heavenly,spotify:track:3aSaH6dXLjgxGpjVGfGZCy
Tiwa Savage,Celia,Attention,spotify:track:3tu8MuLjweaa0xxAfTKaI3
K-OS,Boshido,Crucial (Kaytranada Remix),spotify:track:4hLjgHo1xhQpWG42LXjxvH
WILLOW,<COPINGMECHANISM>,Split,spotify:track:2A4pnMV0s7tE00CPiImhLO
Gwen Bunn,Safe Travels,Yours,spotify:track:7zL4fHhW4vkQmXCdayJSrS
Alicia Creti,Bleeding Me Dry - A COLORS SHOW,Bleeding Me Dry - A COLORS SHOW,spotify:track:4bBjJXHNQPiUdY0L90dO4D
Spencer.,VISCERAL LOVE,OPEN WIDE,spotify:track:5EU5T4pvPG6Bedaepnhhxk
Disclosure,Hype,White Noise,spotify:track:0H0UyIakng8mEncqwN3ah7
Crush,Interlude,Dust,spotify:track:75mdXrYqhqmf5XFJSnMxI5
Brent Faiyaz,"Gravity (feat. Tyler, The Creator)","GRAVITY (FEAT. TYLER, THE CREATOR)",spotify:track:6u3CPnFMKANYgfdiifFOiJ
"Tyler, The Creator",Flower Boy,November,spotify:track:4XDpeWqPADoWRKcUY3dC84
Dornik,Dornik,Drive,spotify:track:6DrnfOtSXRohVHbyVKPyWE
NxWorries,Yes Lawd!,Lyk Dis,spotify:track:02sagHhK9h0nODtzjF33yP
Thundercat,Drunk,Them Changes,spotify:track:5dcZUsgcMW57ju0A379O7c
The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",If I Believe You,spotify:track:2J3ajGI1sVj9wnqThJHwPS
Dotha,Daily,Daily,spotify:track:2URW20izOIh4nV6HiGMEAB
SZA,SOS,Blind,spotify:track:2CSRrnOEELmhpq8iaAi9cd
Kwaku Asante,Until The Morning,Until The Morning,spotify:track:2mI4R8Mafb3y6I1gytvkDe
Jengi,Colors,High,spotify:track:1KH4xy29SsWh8COLdwNACY
Raphael Saadiq,The Way I See It,Keep Marchin',spotify:track:0XS9TxBzCoADVJ7fYYbyZi
Buddy,Harlan & Alondra,The Blue (feat. Snoop Dogg),spotify:track:5Jw0Pi74l6A2jNG7k9CfNC
Ta-ku,Songs To Come Home To,"SMILE (feat. Xavier Omär, DAISY WORLD & ROMderful)",spotify:track:6Wz8DW4uKG9mjyKGjgqyN1
Mike Posner,31 Minutes to Takeoff,Please Don't Go,spotify:track:6jg5SRvdGxvJ0DzNV0UqEK
Tokischa,Linda,Linda,spotify:track:1ahCrpeTt94LL7y1aXw0Y8
Keith Jarrett,The Köln Concert,"Köln, January 24, 1975, Pt. II B - Live",spotify:track:5E2TkoLzEpqvxwWzkgh0kT
Yebba,Dawn,Distance,spotify:track:1SsUx7lHTfuiSSB1KfRMdE
Yaya Bey,sir princess bad bitch,sir princess bad bitch,spotify:track:1TwbcQGYt9wwc7nbqVF9pL
Cherub,Year of the Caprese,Doses & Mimosas,spotify:track:44CZRkOxv7UItaAUmh8PgN
Yeek,Valencia,3000 Miles (Baby Baby),spotify:track:5DHeAWw96xgE5D5DMGW3ci
Human Bloom,Capillary,Capillary,spotify:track:4XOXyktJSSyepObphQj8Ke
The Alchemist,W.Y.G.D.T.N.S. (feat. ScHoolboy Q),W.Y.G.D.T.N.S. (feat. ScHoolboy Q),spotify:track:7wwdta76VXZ80VVlJqvsRY
Shabaka,"Perceive Its Beauty, Acknowledge Its Grace",Kiss Me Before I Forget (feat. Lianne La Havas),spotify:track:08DfXlU9bWDIlai62OJJIG
Ibra,Ugly,Lazy and Stupid,spotify:track:4LXz6tp8hwetdV95IN6KK7
Cosmo's Midnight,Down for You,Down for You,spotify:track:2nelvMgL7LyIUAYwmmRyy1
Ravyn Lenae,Alive,Alive,spotify:track:7yehaNKaf4IMwZvZw45XJT
Chenayder,Strawberry Perfume,Strawberry Perfume,spotify:track:4IbE8jxsczCxfGYJCE2T1x
theMIND,Don't Let It Go To Your Head,Ms. Communication,spotify:track:4KGaCST7kfqslQnBPNwenm
Jakob,April,You and I,spotify:track:2RjsAYVbdZPISqnsWd3Hup
Bran Movay,Flower Talk II (Extended Edition),Hips Talk,spotify:track:0w7atgKyYK1yMokT4TIcWH
lvusm,Meow,Meow,spotify:track:7cOmsSyGKpGLdsDdsgALCY
Atlanta Space Quartet,Moons of Saturn,Moons of Saturn,spotify:track:5ADXkyoXey9T0emYlss7U6
Secret Night Gang,Secret Night Gang,The Sun,spotify:track:22CuNnxkbwiTBgStVdsJfg
Justin Timberlake,FutureSex/LoveSounds Deluxe Edition,Until The End Of Time (with Beyoncé),spotify:track:2wZTnl0pPFr3HBcyXfOaVJ
Disclosure,Settle,F For You,spotify:track:2XnnUZJIWSvq5AsE2PpoSz
Vampire Weekend,Father of the Bride,Flower Moon (feat. Steve Lacy),spotify:track:3ujuDsiyBLAXAB6dtNwpGu
Terrace Martin,Velvet Portraits,With You,spotify:track:34RnMx1hRtypnn03BkTkHV
Lil Seyi,Deciduous,Evergreen,spotify:track:5QZqQSNkvDFfPRQELiUFxV
Cashmere Cat,Mirror Maru EP,Mirror Maru,spotify:track:4LUu3bMpuxHjwPLj84rNSx
Lorde,Pure Heroine,Ribs,spotify:track:0TEekvXTomKt3hdXDZxxeW
Lil Uzi Vert,Luv Is Rage 2,20 Min,spotify:track:0uxSUdBrJy9Un0EYoBowng
"Earth, Wind & Fire",That's The Way Of The World,Reasons,spotify:track:1srD2uc11TcQiOmHHrJp8M
VanJess,Silk Canvas,Another Lover,spotify:track:2KwW2VyIp48UXatX8S2TuL
Ria Sean,Lemonade,Lemonade,spotify:track:4p8Hbw6wPv0u0w7LFj8n78
NugLife,The Beat Dispensary,The Love Dispensary,spotify:track:3kzlByrOGMtLRL7TsW6LWY
chromonicci,A.S.Y.,A.S.Y.,spotify:track:6367lNIm1vlSqHL4E5dC00
BETWEEN FRIENDS,garage sale,Drive over me,spotify:track:7kPmopA5z3fOIyxhC6TgmE
Moonchild,Too Good,Too Good,spotify:track:2MTe95GoaN9QjuWiud4uVx
Jaden,SYRE,Lost Boy,spotify:track:3Qig3auHwFlgO00p5QM6oJ
Gabriel Garzón-Montano,Spotify Singles,Oops (Oh My) - Spotify Singles,spotify:track:0K0E8Pd9Vg8gd8PaMJ7BnF
